CaseMasterID,CrimeID,CaseID,IncidentID,RecordID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatus,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
693793,693793,693793,693793,693793,1044300062026693793,693793,2026-07-08 10:38:00,693793,19,1,2,9,1,2,2,99,2026-07-08 10:38:00,2026-07-08 10:38:00,2026-07-08 10:38:00,12.955230080987208,77.64402904288423,Stolen vehicle reported at Indiranagar.
693794,693794,693794,693794,693794,1044300062026693794,693794,2026-07-01 14:05:00,693794,5,1,2,1,1,3,3,99,2026-07-01 14:05:00,2026-07-01 14:05:00,2026-07-01 14:05:00,12.972387677439205,77.56593698532743,Stolen vehicle reported at MG Road.
693795,693795,693795,693795,693795,1044300062026693795,693795,2026-07-11 11:05:00,693795,20,1,2,8,1,2,2,99,2026-07-11 11:05:00,2026-07-11 11:05:00,2026-07-11 11:05:00,12.96858891832602,77.61072608596749,Stolen vehicle reported at Whitefield.
693796,693796,693796,693796,693796,1044300062026693796,693796,2026-07-21 09:09:00,693796,11,1,2,10,1,1,1,99,2026-07-21 09:09:00,2026-07-21 09:09:00,2026-07-21 09:09:00,12.97542326009224,77.57543073785571,Vandalism of public property at Malleswaram.
693797,693797,693797,693797,693797,1044300062026693797,693797,2026-07-20 03:40:00,693797,19,1,2,8,1,1,1,99,2026-07-20 03:40:00,2026-07-20 03:40:00,2026-07-20 03:40:00,12.966269337139073,77.55612837306808,Assault incident at Jayanagar.
693798,693798,693798,693798,693798,1044300062026693798,693798,2026-07-05 05:35:00,693798,15,1,2,4,1,1,1,99,2026-07-05 05:35:00,2026-07-05 05:35:00,2026-07-05 05:35:00,12.92581446300819,77.62861220085689,Cyber fraud report from Koramangala.
693799,693799,693799,693799,693799,1044300062026693799,693799,2026-07-20 15:19:00,693799,13,1,2,5,1,4,4,99,2026-07-20 15:19:00,2026-07-20 15:19:00,2026-07-20 15:19:00,12.952552442999488,77.54696173329911,Cyber fraud report from Koramangala.
693800,693800,693800,693800,693800,1044300062026693800,693800,2026-07-05 12:10:00,693800,3,1,2,1,1,1,1,99,2026-07-05 12:10:00,2026-07-05 12:10:00,2026-07-05 12:10:00,12.990650227722565,77.55033950482688,Burglary in residential apartment at Malleswaram.
693801,693801,693801,693801,693801,1044300062026693801,693801,2026-07-01 11:35:00,693801,15,1,2,10,1,3,3,99,2026-07-01 11:35:00,2026-07-01 11:35:00,2026-07-01 11:35:00,12.992706502002173,77.60282775047061,Vandalism of public property at Jayanagar.
693802,693802,693802,693802,693802,1044300062026693802,693802,2026-07-23 10:34:00,693802,6,1,2,7,1,4,4,99,2026-07-23 10:34:00,2026-07-23 10:34:00,2026-07-23 10:34:00,12.983518382748612,77.63359427767965,Stolen vehicle reported at Whitefield.
693803,693803,693803,693803,693803,1044300062026693803,693803,2026-07-05 16:26:00,693803,5,1,2,5,1,3,3,99,2026-07-05 16:26:00,2026-07-05 16:26:00,2026-07-05 16:26:00,12.929297517500013,77.5549682802367,Assault incident at MG Road.
693804,693804,693804,693804,693804,1044300062026693804,693804,2026-07-17 08:31:00,693804,3,1,2,2,1,2,2,99,2026-07-17 08:31:00,2026-07-17 08:31:00,2026-07-17 08:31:00,12.979839410996574,77.54657062980789,Cyber fraud report from MG Road.
693805,693805,693805,693805,693805,1044300062026693805,693805,2026-07-06 09:28:00,693805,19,1,2,10,1,2,2,99,2026-07-06 09:28:00,2026-07-06 09:28:00,2026-07-06 09:28:00,12.982923024321538,77.58975903710765,Cyber fraud report from MG Road.
693806,693806,693806,693806,693806,1044300062026693806,693806,2026-07-24 13:20:00,693806,15,1,2,7,1,4,4,99,2026-07-24 13:20:00,2026-07-24 13:20:00,2026-07-24 13:20:00,12.923980822962466,77.58939509703387,Stolen vehicle reported at MG Road.
693807,693807,693807,693807,693807,1044300062026693807,693807,2026-07-06 11:58:00,693807,9,1,2,4,1,3,3,99,2026-07-06 11:58:00,2026-07-06 11:58:00,2026-07-06 11:58:00,13.015260243134493,77.57531294917513,Cyber fraud report from Malleswaram.
